,CLLI,State,lat,lng,nearest_tx_line_m,nearest_tx_line_ft,line_name,line_from_sub,line_to_sub,line_id,line_type,owner,status,voltage_kv,volt_class,voltage_basis,attrs_inferred,nearest_100kv_plus_m,kv_100plus,line_name_100plus,line_id_100plus,owner_100plus,source
25,BRAROKXA,OK,36.0526137,-95.79182596,1312.2,4305,,UNKNOWN118409,UNKNOWN119537,114979,AC; OVERHEAD,PUBLIC SERVICE CO OF OKLAHOMA,IN SERVICE,138,100-161,numeric,Y,1312.2,138,,114979,PUBLIC SERVICE CO OF OKLAHOMA,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
26,BRAROKXC,OK,35.99867768,-95.79685208,679.4,2229,TAP149292,UNKNOWN119540,TAP149292,109171,AC; OVERHEAD,PUBLIC SERVICE CO OF OKLAHOMA,IN SERVICE,138,100-161,numeric,Y,679.4,138,TAP149292,109171,PUBLIC SERVICE CO OF OKLAHOMA,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
27,BRAROKXD,OK,36.08960241,-95.7905582,197.9,649,TAP149299,UNKNOWN118449,TAP149299,139395,AC; OVERHEAD,PUBLIC SERVICE CO OF OKLAHOMA,IN SERVICE,138,100-161,numeric,Y,197.9,138,TAP149299,139395,PUBLIC SERVICE CO OF OKLAHOMA,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
28,BRAROKXE,OK,36.06152416,-95.68429788,240.9,790,ONETA - NORTHEASTERN (345KV),ONETA,NORTHEASTERN (345KV),145549,AC; OVERHEAD,PUBLIC SERVICE CO OF OKLAHOMA,IN SERVICE,345,345,numeric,N,240.9,345,ONETA - NORTHEASTERN (345KV),145549,PUBLIC SERVICE CO OF OKLAHOMA,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
29,BKVLKYXA,KY,38.682502,-84.067487,2136.8,7011,,UNKNOWN121735,UNKNOWN121738,156601,OVERHEAD,NOT AVAILABLE,IN SERVICE,-999999,NOT AVAILABLE,not_published,N,4827.1,138,TAP137345,133681,NOT AVAILABLE,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
30,BWFDTXXA,TX,33.17722041,-102.2744245,1607.4,5273,GOODPASTURE - BROWNFIELD SWITCHING,GOODPASTURE,BROWNFIELD SWITCHING,300139,AC; OVERHEAD,NOT AVAILABLE,IN SERVICE,69,UNDER 100,numeric,N,11148.1,345,TUCO,400314,XCEL ENERGY,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
31,BRSDKYXA,KY,36.98978863,-84.59937332,676.1,2218,TAP155086,UNKNOWN125401,TAP155086,101725,AC; OVERHEAD,NOT AVAILABLE,IN SERVICE,69,UNDER 100,numeric,Y,1133.9,161,COOPER,132353,"EAST KENTUCKY POWER COOP, INC",https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
32,CAIRGAXA,GA,30.8785318,-84.20897305,215,705,,UNKNOWN111599,UNKNOWN116698,130306,OVERHEAD,GEORGIA POWER CO,IN SERVICE,-999999,100-161,class_band,Y,3046.3,115,TAP143132,141457,GEORGIA POWER CO,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
33,CLHNFLXA,FL,30.56435631,-81.83142129,1072.6,3519,YULEE,UNKNOWN120481,YULEE,134032,AC; OVERHEAD,FLORIDA POWER & LIGHT CO,IN SERVICE,230,220-287,numeric,N,1072.6,230,YULEE,134032,FLORIDA POWER & LIGHT CO,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
34,CMVLKYXA,KY,37.342599,-85.343916,624.4,2049,TAP155483,UNKNOWN124806,TAP155483,107911,AC; OVERHEAD,KENTUCKY UTILITIES CO,IN SERVICE,69,UNDER 100,numeric,Y,2703.6,161,TAP160471,163556,NOT AVAILABLE,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
