site_id,lat,lng,name,address,state,county,group,notes,city,land_ownership,asset_type,primary_use,rack_count
GRNLIAXC,41.74516982,-92.72541513,WNS1631,1010 Main Street,IA,,Other,,Grinnell,Owned,Building,Central Office,84
HRSNARXA,36.214283,-93.079052,,202 Graham Street,AR,,Other,,Harrison,Owned,Building,Central Office,81
HZRDKYXA,37.24986502,-83.1939202399999,WNS1739,101 Winterberry Drive,KY,,Other,,Hazard,Owned,Building,Central Office,133
HWSSGAXA,34.95173821,-83.7583057399999,WNS1525,228 North Main Street,GA,,Interesting,,Hiawassee,Owned,Building,Central Office,19
HLRDFLXA,30.68973301,-81.9186614599999,WNS1438,3745 Pecan Street,FL,,Other,,Hilliard,Owned,Building,Central Office,30
HIRMOHXA,41.31000644,-81.14604119,WNS2272,11677 Hayden Street Rear,OH,,Other,,Hiram,Owned,Building,Central Office,14
HLCRIAXP,42.5992163399999,-90.9921891999999,WNS1638,5778 MAPLE RD,IA,,Other,,Holy Cross,Owned,Building,Central Office,6
HDSNOHXB,41.21706309,-81.4425081699999,WNS1063,1300 Terex Road,OH,,Other,,Hudson,Owned,Building,Central Office,20
HDSNOHXA,41.24341435,-81.4400342499999,WNS2275,245 North Main Street,OH,,Other,,Hudson,Owned,Building,Central Office,170
WTWDTXXA,30.81159231,-95.2597377099999,WNS2619,24500 Waterwood Parkway,TX,,Other,,Huntsville,Owned,Building,Central Office,9
IRTNGAXA,32.8202546099999,-83.1678256299999,WNS1529,113 Wriley Road,GA,,Other,,Irwinton,Owned,Building,Central Office,26
JSPRGAXA,34.46817879,-84.43144501,WNS1532,69 Stegall Drive,GA,,Interesting,,Jasper,Owned,Building,Central Office,22
JLLYIAXE,42.47842132,-94.7184655599999,,Alley East Of 129 Maston St,IA,,Other,,Jolley,Owned,Building,Central Office,3
KNTNOHXA,40.6478963699999,-83.6102986599999,WNS2278,225 West Columbus Street,OH,,Interesting,,Kenton,Owned,Building,Central Office,30
KRVLTXXA,30.0453475899999,-99.13997664,WNS2631,812 Water Street,TX,,Other,,Kerrville,Owned,Building,Central Office,144
KGVLOHXA,41.88940328,-80.67476628,WNS2279,3124 Main Street,OH,,Other,,KINGSVILLE,Owned,Building,Central Office,23
KNVLIAXD,41.34934878,-93.0255881399999,,1690 Kennedy,IA,,Other,,Knoxviile,Owned,Building,Central Office,5
KNVLIAWH,41.3202682,-93.06150375,WNS3298,606 North Godfrey Lane,IA,,Other,,Knoxville,Owned,Building,Central Office,5
KNVLIAXC,41.3195514299999,-93.0983319999999,WNS0529,108 East Marion Street,IA,,Other,,Knoxville,Owned,Building,Central Office,79
LFYTGAXA,34.70665255,-85.2827404899999,WNS1536,105 Cherokee Street,GA,,Interesting,,Lafayette,Owned,Building,Central Office,37
ELYROHXD,41.3125910199999,-82.1173181099999,WNS1065,12045 State Route 301,OH,,Other,,LaGrange,Owned,Building,Central Office,16
LKCYIAXO,42.26849988,-94.73361558,WNS0532,106 East Washington,IA,,Other,,Lake City,Owned,Building,Central Office,9
LAMSTXXA,32.73209717,-101.9508835,WNS2635,313 South 1st Street,TX,,Other,,Lamesa,Owned,Building,Central Office,20
LAVNGAXA,34.43593356,-83.1044045799999,WNS1538,5801 Vickery Street,GA,,Other,,Lavonia,Owned,Building,Central Office,42
LEDSALXA,33.54372706,-86.54439521,WNS1345,8372 1St Avenue Southeast,AL,,Other,,Leeds,Owned,Building,Central Office,27
LTFDKYXA,37.48445892,-86.2939511299999,WNS1752,399 N Cannon Dr BLDG A,KY,,Other,,Leitchfield,Owned,Building,Central Office,35
LVLDTXXA,33.58805583,-102.379543499999,WNS2638,506 Avenue I,TX,,Other,,Levelland,Owned,Building,Central Office,75
LTFDTXXA,33.9210429999999,-102.329773,WNS2640,600 East 5th Street,TX,,Other,,Littlefield,Owned,Building,Central Office,39
LVOKFLXA,30.29397346,-82.98207915,WNS1448,206 White Avenue SE,FL,,Other,,Live Oak,Owned,Building,Central Office,123
MDSNOHXA,41.8002742199999,-81.0489853899999,WNS2282,2740 Hubbard Road,OH,,Interesting,,MADISON,Owned,Building,Central Office,28
MNCHIAXO,42.48472283,-91.45717681,WNS1646,107 East Fayette Street,IA,,Other,,Manchester,Owned,Building,Central Office,30
MNCHIAWH,42.45587333,-91.4783707299999,WNS1645,1614 230Th Street,IA,,Other,,Manchester,Owned,Building,Central Office,2
MNCHGAXA,32.85132378,-84.61593315,WNS1542,212 2nd Street,GA,,Other,,Manchester,Owned,Building,Central Office,31
MRNGIAXO,41.7988809399999,-92.06939307,WNS1648,151 East Hilton,IA,,Other,,Marengo,Owned,Building,Central Office,15
MAYOFLXA,30.05422767,-83.1762577599999,WNS1450,153 Northwest Crawford Street,FL,,Other,,Mayo,Owned,Building,Central Office,20
MCRAGAXA,32.0667820099999,-82.89752257,WNS1545,8 East Oak Street,GA,,Other,,McRae,Owned,Building,Central Office,23
MLRSIAXO,40.97544741,-93.0481071399999,,105 TRINITY AVE,IA,,Other,,Melrose,Owned,Building,Central Office,7
MMPHTXXA,34.72450811,-100.5393755,WNS2654,721 West Noel Street,TX,,Other,,Memphis,Owned,Building,Central Office,48
MDVLGAXA,33.0908148099999,-83.2284728199999,WNS1550,750 North Jefferson Street,GA,,Other,,Milledgeville,Owned,Building,Central Office,93
MONRGAXB,33.8904380199999,-83.71992317,WNS0397,3375 GA-11,GA,,Interesting,,Monroe,Owned,Building,Central Office,3
MONRGAXA,33.7964565799999,-83.71253894,WNS1551,129 East Highland Avenue,GA,,Interesting,,Monroe,Owned,Building,Central Office,36
MTZMGAXA,32.3017480299999,-84.03082915,WNS1552,111 Drayton Street,GA,,Other,,Montezuma,Owned,Building,Central Office,25
MNTIKYXA,36.83127068,-84.85042624,WNS1775,45 Huffaker Street,KY,,Other,,Monticello,Owned,Building,Central Office,42
LEDSALXB,33.5934139599999,-86.49852364,WNS1346,920 Park Avenue,AL,,Other,,Moody,Owned,Building,Central Office,52
MORVIAIC,40.8920549899999,-92.9835000199999,,10435 160th Ave,IA,,Other,,Moravia,Leased/Easement,Building,Central Office,5
MRHDKYXA,38.18366375,-83.43477901,WNS1776,154 East 2nd Street,KY,,Other,,Morehead,Owned,Building,Central Office,160
MLTRGAXA,31.1774829199999,-83.78371355,WNS1556,216 4th Street SE,GA,,Other,,Moultrie,Owned,Building,Central Office,89
MLTRGA05,31.17919025,-83.74876131,WNS0398,282 Industrial Drive,GA,,Other,,Moultrie,Owned,Building,Central Office,4
MTAYIAXC,40.71260431,-94.2373037699999,WNS0579,300 South Taylor,IA,,Other,,Mount Ayr,Owned,Building,Central Office,9
MNPLIAXC,40.96786585,-91.5533856899999,WNS1653,101 West Madison,IA,,Other,,Mount Pleasant,Owned,Building,Central Office,48
MTVRKYXA,37.3542603599999,-84.3415178999999,WNS1780,80 West Main St,KY,,Other,,Mount Vernon,Owned,Building,Central Office,20
NSVLGAXA,31.2060928299999,-83.2513356599999,WNS1558,203 South Bartow Street,GA,,Other,,Nashville,Owned,Building,Central Office,32
NEVDIAXC,42.02086028,-93.4511339099999,WNS1654,635 J Avenue,IA,,Other,,Nevada,Owned,Building,Central Office,24
NHTNIAWH,43.0661261999999,-92.3077757899999,WNS3303,627 North Pleasant Hill Avenue,IA,,Other,,New Hampton,Owned,Building,Central Office,1
NHTNIAXC,43.05909211,-92.31272332,WNS1655,201 East Main,IA,,Other,,New Hampton,Owned,Building,Central Office,32
NWRKOHXA,40.0594485299999,-82.40487305,WNS2289,66 North 4th Street,OH,,Interesting,,Newark,Owned,Building,Central Office,145
NWRKOHXC,40.0575081,-82.4271879399999,WNS2294,214 Neal Avenue,OH,,Interesting,,Newark,Owned,Building,Central Office,21
NWRKOHXD,40.01356485,-82.4046177299999,WNS2291,7322 Dorsey Mill Road Southeast,OH,,Interesting,,Newark,Owned,Building,Central Office,24
NWRKOHXB,40.08689351,-82.42710726,WNS2290,320 Deo Drive,OH,,Interesting,,Newark,Owned,Building,Central Office,25
HETHOHXA,40.0413168899999,-82.44171796,WNS2292,1046 Harris Avenue,OH,,Interesting,,Newark,Owned,Building,Central Office,27
NWTNIAXC,41.6983315,-93.05448565,WNS1656,115 S Second Ave W,IA,,Other,,Newton,Owned,Building,Central Office,60
NCVLKYXA,37.8806709099999,-84.57236611,WNS1784,105 North York Street,KY,,Other,,Nicholasville,Owned,Building,Central Office,121
NCNATXXA,33.78899947,-97.7264983099999,WNS2673,117 East Oak Street,TX,,Other,,Nocona,Owned,Building,Central Office,21
NRVLOHXA,41.39099066,-82.01914082,WNS1068,6874 Avon Belden Road,OH,,Other,,North Ridgeville,Owned,Building,Central Office,57
NRFDOHXA,41.31474448,-81.53703932,WNS2297,54 Leonard Avenue,OH,,Interesting,,Northfield,Owned,Building,Central Office,93
NRWDNCXA,35.22668599,-80.12266339,WNS1925,238 North Main Street,NC,,Interesting,,Norwood,Owned,Building,Central Office,15
OLHLKYXA,38.30218139,-83.1702961099999,WNS1785,133 Mills Street,KY,,Other,,Olive Hill,Owned,Building,Central Office,42
OWVLKYXA,38.1410863699999,-83.76592121,WNS1787,148 Treadway Street,KY,,Other,,OWINGSVILLE,Owned,Building,Central Office,50
PLNGOHXA,41.1360556599999,-84.58159009,WNS2300,117 West Harrison Street,OH,,Other,,Paulding,Owned,Building,Central Office,30
PECSTXXB,31.40444183,-103.5034902,WNS2681,924 West Daggett Street,TX,,Interesting,,Pecos,Owned,Building,Central Office,35
PNSLOHXA,41.2412452,-81.54544115,WNS2301,1515 State Route 303,OH,,Other,,Peninsula,Owned,Building,Central Office,15
PRRYGAAI,32.4358179099999,-83.7608892599999,WNS3437,2031 US HWY 41 S,GA,,Other,,Perry,Owned,Building,Central Office,4
PRRYGAXA,32.4573819499999,-83.73262665,WNS1566,910 Main Street,GA,,Other,,Perry,Owned,Building,Central Office,95
PRRYOHXA,41.75907565,-81.1385295,WNS2302,4165 Main Street,OH,,Other,,PERRY,Owned,Building,Central Office,20
PYTNTXXA,36.39730102,-100.803753299999,WNS2683,301 South Amherst Street,TX,,Other,,Perryton,Owned,Building,Central Office,36
PERSIAXP,41.58003601,-95.56854909,,Alley Behind 103 Main Street,IA,,Other,,Persia,Leased/Easement,Building,Central Office,4
PITSGAXA,31.94497002,-83.5413853299999,WNS1568,108 7Th Ave W,GA,,Other,,Pitts,Owned,Building,Central Office,9
POTEOKAY,35.0207959299999,-94.65992454,WNS1096,201 Kerr Ave,OK,,Other,,Poteau,Owned,Building,Central Office,1
POTEOKXA,35.0521843699999,-94.6202629499999,WNS2358,310 Clayton Avenue,OK,,Other,,Poteau,Owned,Building,Central Office,37
PWPNOHXA,39.8659507599999,-80.79901046,WNS2305,101 Ben Avenue,OH,,Interesting,,Powhatan Point,Owned,Building,Central Office,18
PRCLOKXA,35.0113368399999,-97.36365886,WNS2360,319 West Apache,OK,,Other,,Purcell,Owned,Building,Central Office,55
QKCYOHXA,39.97051805,-81.29860963,WNS2306,181 Broadway Street,OH,,Other,,Quaker City,Owned,Building,Central Office,18
RCFDOHXA,41.23925717,-81.6557576,,4676 West Streetsboro Road,OH,,Interesting,,Richfield,Owned,Building,Central Office,27
TRNYTXXH,30.85154,-95.40012,WNS1293,75 FRONT ST @ F.M. 980 Riverside TX 77367 US,TX,,Other,,Riverside,Owned,Building,Central Office,10
GRQYNCXA,35.5720107499999,-80.4178416,WNS1932,8145 Highway 52,NC,,Interesting,,Rockwell,Owned,Building,Central Office,30
SYMRTXXA,33.59135941,-99.2600727699999,WNS2709,400 North Main Street,TX,,Other,,Seymour,Owned,Building,Central Office,54
SHPVKYXA,37.99026484,-85.7157907099999,WNS1795,144 South Buckman Street,KY,,Other,,Sheperdsville,Owned,Building,Central Office,44
SHRDARXA,34.3065086399999,-92.398274,WNS1404,209 East Center,AR,,Other,,Sheridan,Owned,Building,Central Office,33
SHDNKYXA,37.5251636699999,-85.89526014,WNS1801,21 1st Street,KY,,Other,,SONORA,Owned,Building,Central Office,22
STWLOKXA,35.81283854,-94.6278948,WNS2368,116 South 1st Street,OK,,Other,,Stilwell,Owned,Building,Central Office,28
SGLDTXXE,29.63625224,-95.5981813199999,WNS2726,12626 Dairy Ashford Road,TX,,Other,,Sugar Land,Owned,Building,Central Office,159
SGLDTXXD,29.5860816699999,-95.62071487,WNS2722,1850 Austin Parkway,TX,,Other,,Sugar Land,Owned,Building,Central Office,64
SUVLGAXA,34.4815202899999,-85.34870994,WNS1584,66 West Washington Street,GA,,Interesting,,Summerville,Owned,Building,Central Office,33
SWNYTXXA,29.03860427,-95.6995736899999,WNS2733,202 Pecan Street,TX,,Other,,Sweeny,Owned,Building,Central Office,29
SYVNGAXA,32.7517568299999,-81.6332240899999,WNS1585,303 East Ogeechee Street,GA,,Other,,Sylvania,Owned,Building,Central Office,12
TCMSOKXB,35.25843195,-96.9359090699999,WNS2370,112 East Park Street,OK,,Other,,Tecumseh,Owned,Building,Central Office,33
THTNGAXA,32.8869667499999,-84.3254854999999,WNS3198,118 East Gordon Street,GA,,Other,,Thomaston,Owned,Building,Central Office,53
THTNGAXB,32.9334372699999,-84.3334017899999,WNS3284,1444 Highway 19 N,GA,,Other,,Thomaston,Owned,Building,Central Office,15
TPTNIAXO,41.77051661,-91.12666418,WNS1668,506 Meridian,IA,,Other,,Tipton,Owned,Building,Central Office,25
TOLDIAXO,41.98152657,-92.5812656199999,WNS1669,1201 South County Road,IA,,Other,,Toledo,Owned,Building,Central Office,23
TRARIAXO,42.19143728,-92.46705144,WNS1670,505 3rd Street,IA,,Other,,Traer,Owned,Building,Central Office,10
